time,ID,x,y,SEQ,SPEED,ID,time,distance
0.1,1,-82.847755,34.681298,0,0,0,0,7.81E-05
0.2,1,-82.847754,34.681298,1,0.248417,0,0.1,0
0.3,1,-82.847754,34.681298,2,0.490305,0,0.2,7.81E-05
0.4,1,-82.847753,34.681298,2,0.748599,0,0.2,7.81E-05
0.5,1,-82.847752,34.681298,4,0.983815,0,0.4,0.000122912
0.6,1,-82.847751,34.681299,5,1.207125,0,0.5,0.000174566
0.7,1,-82.847749,34.681299,6,1.463926,0,0.6,0.000174566
0.8,1,-82.847747,34.681299,7,1.65986,0,0.7,0.000174566
0.9,1,-82.847745,34.681299,8,1.896102,0,0.8,0.000174566
1,1,-82.847743,34.681299,9,2.097318,0,0.9,0.000270436
1.1,1,-82.84774,34.681299,10,2.269494,0,1,0.000198711
1.1,2,-82.848062,34.682083,10,0,1,1,0
1.2,1,-82.847738,34.6813,11,2.444376,0,1.1,0.000270436
1.2,2,-82.848062,34.682083,11,0.259922,1,1.1,9.49E-05
1.3,1,-82.847735,34.6813,12,2.645602,0,1.2,0.000270436
1.3,2,-82.848062,34.682082,12,0.507803,1,1.2,0
1.4,1,-82.847732,34.6813,13,2.871215,0,1.3,0.000270436
1.4,2,-82.848062,34.682082,13,0.746064,1,1.3,9.49E-05
1.4,2,-82.848062,34.682081,13,1.003033,1,1.3,9.49E-05
1.5,1,-82.847725,34.681301,14,3.18852,0,1.4,0.000366172
1.5,2,-82.848062,34.68208,14,1.2427,1,1.4,0.000212282
1.6,1,-82.847721,34.681301,15,3.381834,0,1.5,0.000270436
1.6,2,-82.848062,34.682078,15,1.499229,1,1.5,0.000122911
1.7,1,-82.847718,34.681301,16,3.559482,0,1.6,0.000378278
1.7,2,-82.848061,34.682077,16,1.732219,1,1.6,0.000212282
1.8,1,-82.847714,34.681302,17,3.712322,0,1.7,0.000455211
1.8,2,-82.848061,34.682075,17,1.898681,1,1.7,0.000212282
1.9,1,-82.847709,34.681302,18,3.920767,0,1.8,0.000366172
1.9,2,-82.848061,34.682073,18,2.062876,1,1.8,0.000212282
2,1,-82.847705,34.681302,19,4.149994,0,1.9,0.000465006
2,2,-82.848061,34.682071,19,2.259657,1,1.9,0.527603697
2,2,-82.846783,34.677444,19,0,1,1.9,0.527366572
2.1,1,-82.8477,34.681303,20,4.310609,0,2,0.000455211
2.1,2,-82.84806,34.682069,20,2.48164,1,2,0.527366572
2.1,2,-82.846783,34.677444,20,0.259579,1,2,0.527149707
2.2,1,-82.847695,34.681303,21,4.566732,0,2.1,0.000455211
2.2,2,-82.84806,34.682067,21,2.617283,1,2.1,0.527258143
2.2,2,-82.846783,34.677443,21,0.515445,1,2.1,0.526932847
